Nombre;Estilo;Cervecería;Nombre completo;Descripción;ABV;Min IBU;Max IBU;Astringencia;Cuerpo (Body);Alcohol;Amargo (Bitter);Dulce (Sweet);Agrio (Sour);Salado (Salty);Frutas (Fruits);Lupulado (Hoppy);Especias (Spices);Malta (Malty)
Good Gourd Imperial Pumpkin Ale;Pumpkin Beer;Cigar City Brewing;Cigar City Brewing Good Gourd Imperial Pumpkin Ale;Notes:Legend has it that when a pumpkin comes into the world it is possessed by either a good or an evil spirit. Ours got all the good baby! Bursting with real pumpkin flavor and yummy pumpkin spices including Ceylon cinnamon, Jamaican all-spice, Zanzibar cloves and nutmeg, Good Gourd is a celebration of Fall and that spookiest of holidays, Halloween. Pair Good Gourd with pumpkin soup, pumpkin pie and costume parties.35 IBU\t;8.5;5;70;4;54;19;22;50;14;1;108;29;122;57
Night Owl Pumpkin Ale;Pumpkin Beer;Elysian Brewing Company;Elysian Brewing Company Night Owl Pumpkin Ale;Notes:Brewed with 150 lbs. of pumpkin in each batch. Made with Pale, Munich and Crystal malts green and roasted pumpkin seeds, pumpkin in the mash, boil and fermenter. Bittered with Horizon hops. Spiced in conditioning with nutmeg, clove, cinnamon, ginger and allspice.\t;6.7;5;70;11;47;7;14;36;13;2;92;19;118;40
Buffalo Bill's Pumpkin Ale;Pumpkin Beer;Buffalo Bill's Brewery;Buffalo Bill's Brewery Buffalo Bill's Pumpkin Ale;Notes:;6;5;70;4;41;5;12;16;7;0;84;14;85;35
Saranac Pumpkin Ale;Pumpkin Beer;Matt Brewing Company;Matt Brewing Company Saranac Pumpkin Ale;Notes:;5.4;5;70;5;24;1;8;26;8;0;74;8;59;42
UFO Pumpkin;Pumpkin Beer;Harpoon Brewery;Harpoon Brewery UFO Pumpkin;Notes:Imagine a pumpkin vine wound its way in a field of barley, and a brewer harvested it all to make a beer. Add Northwestern hops and a blend of spices, and you've got UFO Pumpkin. The malt combination provides a smooth body and slightly sweet flavor, which balances perfectly with the earthy notes derived from the pure pumpkin. And like all of our UFO beers, UFO Pumpkin is unfiltered so all the wonderful flavors are right there in your glass. Cheers!20 IBU\t;5.9;5;70;9;37;8;15;43;18;5;90;27;75;59
Pumpkinator;Pumpkin Beer;Saint Arnold Brewing Company;Saint Arnold Brewing Company Pumpkinator;Notes:This is the same beer as Divine Reserve #9. If you have already reviewed that beer, please do not review it again here or you risk losing the older review when the listings are merged.http://www.saintarnold.com/beers/pumpkinator.html;10;5;70;9;53;22;24;43;2;3;71;7;111;67
La Parcela;Pumpkin Beer;Jolly Pumpkin Artisan Ales;Jolly Pumpkin Artisan Ales La Parcela;Notes:;6;5;70;38;43;8;22;25;119;1;125;13;74;37
The Great’ER Pumpkin;Pumpkin Beer;Heavy Seas Beer;Heavy Seas Beer Heavy Seas - The Great Pumpkin;Notes:In the most worthy of pumpkin patches and during the silence of the midnight hour, the Greater Pumpkin raises up and pours a rich deep and burnished orange color. Heady aromas of bourbon, cinnamon, ginger, allspice and clove linger seductively over the thick white head of this tremendous brew. Its love at first sip as the full malt body, dominated by British crystal malt, brown sugar and pumpkin, slowly washes over your tongue. Bourbon barrel aging rounds out the flavors with notes of oak, vanilla, and bourbon. Pairs well with crisp autumn weather, crunchy fallen leaves, and the knowledge that your kids will be asleep soon so you can raid their Halloween candy bags.\t;10;5;70;9;40;90;11;45;20;1;77;5;113;83
The Great Pumpkin;Pumpkin Beer;Elysian Brewing Company;Elysian Brewing Company The Great Pumpkin;Notes:;8.4;5;70;11;31;15;5;33;23;2;117;7;102;37
Frog's Hollow Double Pumpkin Ale;Pumpkin Beer;Hoppin' Frog Brewery;Hoppin' Frog Brewery Frog's Hollow Double Pumpkin Ale;Notes:;8.4;5;70;11;29;19;16;41;19;1;88;13;75;23
